Country,State,District,X,Y
India,Himachal Pradesh,Sirmaur,77.4174,30.6721
India,Himachal Pradesh,Solan,76.8957,31.0466
India,Himachal Pradesh,Una,76.1957,31.5827
India,Jammu and Kashmir,Anantnag,75.3195,33.8216
India,Jammu and Kashmir,Badgam,74.6258,33.9133
India,Jammu and Kashmir,Bandipore,74.9089,34.5175
India,Jammu and Kashmir,Baramulla,74.3374,34.1806
India,Jammu and Kashmir,Doda,75.6875,33.1108
India,Jammu and Kashmir,Ganderbal,75.0297,34.2878
India,Jammu and Kashmir,Jammu,74.7319,32.7991
India,Jammu and Kashmir,Kargil,76.4731,33.8833
India,Jammu and Kashmir,Kathua,75.5566,32.573
India,Jammu and Kashmir,Kishtwar,75.9504,33.5461
India,Jammu and Kashmir,Kulgam,74.8515,33.5989
India,Jammu and Kashmir,Kupwara,74.1926,34.5267
India,Jammu and Kashmir,Leh (Ladakh),77.9481,33.8847
India,Jammu and Kashmir,Poonch,74.2604,33.7083
India,Jammu and Kashmir,Pulwama,75.0429,33.9673
India,Jammu and Kashmir,Rajouri,74.3793,33.2799
India,Jammu and Kashmir,Ramban,75.1717,33.3339
India,Jammu and Kashmir,Reasi,74.8219,33.2222
India,Jammu and Kashmir,Samba,75.0508,32.6041
India,Jammu and Kashmir,Shupiyan,74.8301,33.7634
India,Jammu and Kashmir,Srinagar,74.8983,34.1294
India,Jammu and Kashmir,Udhampur,75.2785,32.9081
India,Jharkhand,Bokaro,85.9875,23.6917
India,Jharkhand,Chatra,84.8802,24.1731
India,Jharkhand,Deoghar,86.7352,24.3268
India,Jharkhand,Dhanbad,86.4708,23.8303
India,Jharkhand,Dumka,87.2612,24.3183
India,Jharkhand,Garhwa,83.6897,24.1034
India,Jharkhand,Giridih,86.1039,24.2969
India,Jharkhand,Godda,87.3063,24.8588
India,Jharkhand,Gumla,84.5278,23.1007
India,Jharkhand,Hazaribagh,85.4209,24.0775
India,Jharkhand,Jamtara,86.9117,23.9753
India,Jharkhand,Khunti,85.2677,23
India,Jharkhand,Kodarma,85.7024,24.5185
India,Jharkhand,Latehar,84.4361,23.7172
India,Jharkhand,Lohardaga,84.6631,23.4746
India,Jharkhand,Pakur,87.6583,24.5619
India,Jharkhand,Palamu,84.1586,24.2002
India,Jharkhand,Pashchimi Singhbhum,85.5135,22.4165
India,Jharkhand,Purbi Singhbhum,86.4472,22.5792
India,Jharkhand,Ramgarh,85.5541,23.6274
