ID,Date,Link,Country,State,District,Lon,Lat,Keyword,Source,WeekNumber,Type
41,09-02-20,https://www.tribuneindia.com/news/jalandhar/yellow-rust-hits-wheat-in-some-areas-of-dist-38653,India,Punjab,Hoshiarpur,75.8446,31.6273,yellow+rust+losses++yield+hd3086+wheat+variety,tribuneindia,6,yellow rust
42,09-02-20,https://www.tribuneindia.com/news/haryana/herbicide-overuse-could-cause-yellow-leaves-too-expert-38572,India,Haryana,Ambala,76.9661,30.3585,"herbicide+87,400 hectares+yellow+rust+8 acres",tribuneindia,6,yellow rust
43,10-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Jammu and Kashmir,Jammu,74.7319,32.7991,yellow rust + brown rust,iiwbr newsletter,7,yellow rust
44,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Karnal,76.8809,29.6969,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust+HD2851,indiatimes,7,yellow rust
45,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Ambala,76.9661,30.3585,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust+4 acres,indiatimes,7,yellow rust
46,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Panchkula,76.9585,30.7101,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust,indiatimes,7,yellow rust
47,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Kurukshetra,76.8297,30.0499,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust,indiatimes,7,yellow rust
48,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Yamunanagar,77.3303,30.2575,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust,indiatimes,7,yellow rust
49,11-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow rust + propiconazole 0.1% + 15 days,iiwbr newsletter,7,yellow rust
50,13-02-20,https://www.tribuneindia.com/news/haryana/yellow-rust-detected-in-16-acres-in-yamunanagar-dist-41010,India,Haryana,Yamunanagar,77.3303,30.2575,yellow+rust+16-acres+hd 2967+sri ram-231+mughalwali+village+fungicide+propiconazole,tribuneindia,7,yellow rust
51,13-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Karnataka,Belgaum,74.8279,16.1178,stem rust + under rainfed + restricted irrigations,iiwbr newsletter,7,stem rust
52,14-02-20,https://ourbitcoinnews.com/wheat-crop-affected-by-yellow-rust-disease-center-team-revealed-after-inspection-wheat-crop-affected-by-yellow-rust-disease-in-many-parts-of-himachal-agricultural-experts-gave-this-advice/,India,Himachal Pradesh,Mandi,76.9779,31.6415,wheat+yellow+rust+propiconazole+1 liter lassi+40 liters water,ourbitcoinnews,7,yellow rust
53,14-02-20,https://ourbitcoinnews.com/wheat-crop-affected-by-yellow-rust-disease-center-team-revealed-after-inspection-wheat-crop-affected-by-yellow-rust-disease-in-many-parts-of-himachal-agricultural-experts-gave-this-advice/,India,Himachal Pradesh,Solan,76.8957,31.0466,wheat+yellow+rust+propiconazole+1 liter lassi+40 liters water,ourbitcoinnews,7,yellow rust
54,14-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Haryana,Yamunanagar,77.3303,30.2575,yellow rust + propiconazole 0.1% + 15 days,iiwbr newsletter,7,yellow rust
55,14-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Himachal Pradesh,Bilaspur,76.6576,31.3753,yellow rust + propiconazole 0.1% + 15 days,iiwbr newsletter,7,yellow rust
56,14-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Haryana,Ambala,76.9661,30.3585,yellow rust + propiconazole 0.1% + 15 days,iiwbr newsletter,7,yellow rust
57,14-02-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow rust + propiconazole 0.1% + 15 days,iiwbr newsletter,7,yellow rust
58,18-02-20,https://www.tribuneindia.com/news/haryana/same-yellow-rust-pathogen-attacking-wheat-since-13-43140,India,Haryana,Karnal,76.8809,29.6969,yellow+rust+varieties+dbw-222+dbw-187+crop+pathogen+110S119+46S119+110S84,tribuneindia,8,yellow rust
59,18-02-20,https://www.tribuneindia.com/news/haryana/same-yellow-rust-pathogen-attacking-wheat-since-13-43140,India,Haryana,Ambala,76.9661,30.3585,yellow+rust+varieties+dbw-222+dbw-187+crop+pathogen+110S119+46S119+110S84,tribuneindia,8,yellow rust
60,18-02-20,https://www.tribuneindia.com/news/haryana/same-yellow-rust-pathogen-attacking-wheat-since-13-43140,India,Haryana,Yamunanagar,77.3303,30.2575,yellow+rust+varieties+dbw-222+dbw-187+crop+pathogen+110S119+46S119+110S84,tribuneindia,8,yellow rust
